date,daily_active_users,total_levels_played,total_levels_completed
2022-06-06,1449,45545,24634
2022-06-07,1938,69775,37454
2022-06-08,2162,76774,41647
2022-06-09,2340,91982,47824
2022-06-10,2508,92534,49601
2022-06-11,2835,103516,56373
2022-06-12,3165,123820,66793
2022-06-13,3513,134681,70416
2022-06-14,3730,137629,73010
2022-06-15,3791,145824,75789
2022-06-16,4031,162393,80818
2022-06-17,3992,145144,72048
2022-06-18,4048,155680,75884
2022-06-19,4306,169232,81491
2022-06-20,4548,180612,85939
2022-06-21,4897,191871,94009
2022-06-22,4965,191659,92485
2022-06-23,5076,212342,96639
2022-06-24,5166,189394,88655
2022-06-25,5149,198100,90411
2022-06-26,5514,217150,99481
