date,total_active_users,returned_next_day,daily_return_rate_pct,total_unique_users
2022-06-06,1449,0,0.0,19552
2022-06-07,1938,855,44.12,19552
2022-06-08,2162,1144,52.91,19552
2022-06-09,2340,1287,55.0,19552
2022-06-10,2508,1403,55.94,19552
2022-06-11,2835,1552,54.74,19552
2022-06-12,3165,1745,55.13,19552
2022-06-13,3513,2009,57.19,19552
2022-06-14,3730,2237,59.97,19552
2022-06-15,3791,2418,63.78,19552
2022-06-16,4031,2536,62.91,19552
2022-06-17,3992,2644,66.23,19552
2022-06-18,4048,2531,62.52,19552
2022-06-19,4306,2668,61.96,19552
2022-06-20,4548,2833,62.29,19552
2022-06-21,4897,3120,63.71,19552
2022-06-22,4965,3277,66.0,19552
2022-06-23,5076,3355,66.1,19552
2022-06-24,5166,3432,66.43,19552
2022-06-25,5149,3378,65.6,19552
2022-06-26,5514,3475,63.02,19552
