milestone,num_users_who_played,cumulative_avg_days_to_complete
100th,4697,3.0
200th,2869,4.0
300th,1918,5.0
400th,1273,5.0
500th,911,5.0
600th,662,4.0
700th,487,4.0
800th,378,3.0
900th,315,3.0
1000th,268,3.0
1100th,225,3.0
1200th,186,3.0
1300th,165,3.0
1400th,141,3.0
1500th,123,2.0
1600th,110,2.0
1700th,95,2.0
1800th,82,3.0
1900th,70,3.0
2000th,57,2.0
2100th,49,2.0
2200th,46,3.0
2300th,42,3.0
2400th,37,3.0
2500th,31,4.0
2600th,26,3.0
2700th,23,3.0
2800th,22,3.0
2900th,19,3.0
3000th,17,3.0
3100th,15,4.0
3200th,14,7.0
3300th,10,4.0
3400th,9,4.0
3500th,8,3.0
3600th,8,4.0
3700th,6,1.0
3800th,5,2.0
3900th,3,4.0
4000th,2,9.0
